1.0	0.1687	0.0911	0.1525	0.2698	-0.1804	-0.2878	-0.2086	-0.2243	0.1017	0.0384	-0.1692	0.1197	0.1601
0.1687	1.0	-0.1993	0.0643	0.1488	-0.2313	0.1916	0.2788	-0.2351	-0.2846	-0.1128	0.1064	0.2749	-0.062
0.0911	-0.1993	1.0	0.129	-0.2544	0.1144	0.0763	-0.2389	0.1635	0.2102	0.0602	-0.2274	0.2903	0.1696
0.1525	0.0643	0.129	1.0	-0.0917	-0.043	-0.0777	0.0036	-0.0953	0.2097	0.1934	-0.2367	0.2765	0.0814
0.2698	0.1488	-0.2544	-0.0917	1.0	0.1972	0.1244	-0.0387	0.1403	0.2793	-0.138	0.1849	0.0229	-0.0099
-0.1804	-0.2313	0.1144	-0.043	0.1972	1.0	-0.0387	0.1386	-0.139	0.211	0.1984	-0.248	0.229	-0.1537
-0.2878	0.1916	0.0763	-0.0777	0.1244	-0.0387	1.0	-0.0212	0.0662	-0.0726	-0.2828	0.2106	-0.1909	-0.1727
-0.2086	0.2788	-0.2389	0.0036	-0.0387	0.1386	-0.0212	1.0	0.1787	-0.0958	0.2282	0.1207	-0.1342	-0.2939
-0.2243	-0.2351	0.1635	-0.0953	0.1403	-0.139	0.0662	0.1787	1.0	0.2688	-0.2486	0.132	-0.0069	0.1549
0.1017	-0.2846	0.2102	0.2097	0.2793	0.211	-0.0726	-0.0958	0.2688	1.0	0.1144	0.0875	-0.0055	0.1758
0.0384	-0.1128	0.0602	0.1934	-0.138	0.1984	-0.2828	0.2282	-0.2486	0.1144	1.0	-0.2442	-0.167	0.1151
-0.1692	0.1064	-0.2274	-0.2367	0.1849	-0.248	0.2106	0.1207	0.132	0.0875	-0.2442	1.0	-0.1163	0.0489
0.1197	0.2749	0.2903	0.2765	0.0229	0.229	-0.1909	-0.1342	-0.0069	-0.0055	-0.167	-0.1163	1.0	-0.016
0.1601	-0.062	0.1696	0.0814	-0.0099	-0.1537	-0.1727	-0.2939	0.1549	0.1758	0.1151	0.0489	-0.016	1.0
